match_id, team_id, inning, total_score, wickets, 50_in_balls, 100_in_balls,id
175,80,1,106,8,50,104,346
175,14,2,109,0,34,66,347
176,89,1,91,7,71,0,348
176,61,2,92,1,42,0,349
177,43,1,142,7,48,83,350
177,7,2,90,10,61,0,351
178,59,1,141,5,57,95,352
178,89,2,88,10,55,0,353
179,61,1,167,7,50,77,354
179,43,2,125,8,47,96,355
180,21,1,119,10,54,94,356
180,7,2,108,7,59,114,357
181,89,1,113,6,51,110,358
181,43,2,117,3,43,78,359
182,21,1,135,8,64,101,360
182,89,2,107,8,62,111,361
183,7,1,46,10,0,0,362
183,61,2,50,0,23,0,363
184,59,1,145,6,69,98,364
184,43,2,144,9,42,92,365
185,76,1,117,10,45,96,366
185,53,2,119,5,43,94,367
186,85,1,141,7,48,82,368
186,70,2,95,9,62,0,369
187,100,1,131,9,44,85,370
187,85,2,113,8,72,115,371
188,99,1,121,10,33,80,372
188,76,2,110,8,68,111,373
189,100,1,160,5,37,76,374
189,70,2,80,10,71,0,375
190,85,1,100,9,32,96,376
191,70,1,99,10,57,0,377
191,53,2,101,3,28,67,378
192,100,1,134,5,52,107,379
192,53,2,136,7,32,68,380
193,70,1,95,6,56,0,381
193,76,2,96,6,44,0,382
194,100,1,149,6,43,85,383
194,99,2,76,10,65,0,384
195,85,1,109,8,60,110,385
195,53,2,110,3,49,78,386
196,10,1,177,8,29,57,387
196,64,2,176,9,26,65,388
197,64,1,204,7,35,69,389
197,10,2,202,7,30,54,390
198,10,1,222,6,22,60,391
198,64,2,226,5,28,50,392
199,14,1,196,6,28,62,393
199,10,2,89,10,55,0,394
200,10,1,158,4,34,78,395
200,14,2,146,6,32,76,396
201,14,1,193,5,24,53,397
201,10,2,96,10,36,0,398
202,40,1,113,8,63,94,399
202,63,2,114,5,58,98,400
203,40,1,130,7,45,95,401
203,71,2,131,8,54,100,402
204,40,1,127,7,46,103,403
204,63,2,129,2,33,73,404
205,63,1,123,5,27,77,405
206,71,1,153,6,28,76,406
206,40,2,154,5,31,83,407
207,10,1,149,5,47,81,408
207,47,2,151,3,40,77,409
208,47,1,134,9,32,91,410
208,10,2,140,1,43,74,411
209,47,1,148,6,46,94,412
209,66,2,154,3,39,91,413
210,66,1,153,6,34,75,414
210,47,2,154,2,32,56,415
211,47,1,174,5,43,80,416
211,66,2,144,10,45,71,417
212,28,1,207,5,29,59,418
212,47,2,209,4,36,70,419
213,47,1,170,7,43,66,420
213,28,2,173,2,39,79,421
214,47,1,240,3,25,48,422
214,28,2,173,8,38,64,423
215,24,1,153,5,43,87,424
215,64,2,154,3,43,80,425
216,24,1,176,8,34,69,426
216,64,2,155,10,37,81,427
217,24,1,180,7,33,71,428
217,64,2,166,7,39,71,429
218,64,1,241,3,38,63,430
218,24,2,165,10,25,62,431
219,24,1,146,5,16,45,432
219,64,2,146,7,25,40,433
220,24,1,203,5,27,65,434
220,47,2,204,4,29,52,435
221,24,1,132,5,38,93,436
221,47,2,135,3,49,88,437
222,47,1,179,5,33,73,438
222,24,2,179,6,35,76,439
223,47,1,165,8,29,79,440
223,24,2,165,7,46,76,441
224,47,1,163,3,31,71,442
224,24,2,156,9,47,63,443
225,62,1,199,6,30,64,444
225,82,2,150,10,35,76,445
226,62,1,152,8,34,75,446
226,82,2,152,10,36,90,447
227,28,1,95,9,70,0,448
227,47,2,98,6,57,0,449
228,47,1,167,5,35,73,450
228,28,2,98,4,49,0,451
229,28,1,146,6,55,90,452
229,47,2,150,3,46,88,453
230,76,1,118,7,59,109,454
230,85,2,112,9,44,109,455
231,85,1,158,9,41,78,456
231,99,2,128,10,48,92,457
232,90,1,186,7,42,69,458
232,51,2,153,9,40,74,459
233,63,1,162,10,50,87,460
233,46,2,120,10,46,95,461
234,34,1,122,10,38,99,462
234,51,2,124,6,42,89,463
235,63,1,83,7,33,0,464
235,34,2,86,3,21,0,465
236,46,1,197,7,31,63,466
236,51,2,187,5,20,76,467
237,63,1,92,10,66,0,468
237,90,2,96,2,56,0,469
238,46,1,141,9,41,93,470
238,34,2,143,3,27,66,471
239,63,1,144,10,36,69,472
239,51,2,147,6,54,89,473
240,90,1,191,6,41,65,474
240,34,2,109,10,34,80,475
241,62,1,136,9,44,87,476
241,19,2,140,5,33,87,477
242,62,1,150,6,35,87,478
242,19,2,153,3,33,83,479
243,63,1,128,9,47,97,480
243,34,2,129,3,58,94,481
244,34,1,173,6,43,88,482
244,63,2,167,7,36,80,483
245,4,1,174,4,35,80,484
245,24,2,175,5,52,74,485
246,4,1,161,9,50,77,486
246,24,2,165,6,29,72,487
247,4,1,125,8,51,90,488
247,24,2,88,10,56,0,489
248,82,1,144,5,38,91,490
248,66,2,148,7,42,73,491
249,66,1,175,7,31,70,492
249,82,2,136,10,57,97,493
250,52,1,141,7,48,86,494
250,17,2,135,7,55,95,495
251,48,1,196,6,44,70,496
251,55,2,112,7,62,95,497
252,52,1,82,9,67,0,498
252,48,2,40,0,0,0,499
253,55,1,68,8,99,0,500
253,17,2,60,5,82,0,501
254,55,1,116,9,68,102,502
254,52,2,117,4,55,74,503
255,17,1,144,6,34,91,504
255,48,2,145,6,34,83,505
256,55,1,91,7,61,0,506
256,48,2,95,2,46,0,507
257,17,1,141,9,52,92,508
257,52,2,142,6,42,80,509
258,55,1,66,9,77,0,510
258,17,2,70,1,39,0,511
259,48,1,173,8,43,74,512
259,17,2,158,8,30,77,513
260,55,1,114,10,60,104,514
260,52,2,115,4,54,94,515
261,61,1,193,4,26,76,516
261,7,2,100,7,62,120,517
262,61,1,240,3,31,56,518
262,7,2,116,2,59,103,519
263,61,1,174,8,26,79,520
263,7,2,96,10,50,0,521
264,7,1,85,8,70,0,522
264,61,2,86,2,52,0,523
265,62,1,167,7,34,64,524
265,11,2,169,4,34,75,525
266,42,1,173,9,47,81,526
266,11,2,130,10,27,67,527
267,54,1,125,6,47,91,528
267,34,2,126,6,55,92,529
268,62,1,133,10,33,82,530
268,34,2,134,6,57,104,531
269,11,1,208,5,31,65,532
269,54,2,142,9,52,88,533
270,11,1,145,8,38,75,534
270,34,2,132,10,41,88,535
271,62,1,94,10,43,0,536
271,42,2,95,3,47,0,537
272,62,1,185,4,36,67,538
272,54,2,148,7,51,88,539
273,34,1,64,10,42,0,540
273,42,2,65,4,67,0,541
274,64,1,162,7,32,75,542
274,14,2,160,6,32,68,543
275,14,1,157,7,47,89,544
275,64,2,158,4,44,75,545
276,64,1,145,6,47,87,546
276,14,2,146,5,31,77,547
277,64,1,131,6,49,68,548
278,80,1,195,4,35,67,549
278,64,2,199,5,28,67,550
279,80,1,190,4,39,65,551
279,64,2,185,8,35,70,552
280,4,1,165,5,29,71,553
280,80,2,101,10,53,102,554
281,4,1,182,6,36,67,555
281,80,2,147,10,44,80,556
282,4,1,147,7,40,87,557
282,80,2,134,6,48,98,558
283,90,1,168,6,35,75,559
283,49,2,166,9,31,69,560
284,54,1,153,5,41,86,561
284,11,2,155,2,37,70,562
285,62,1,166,4,29,68,563
285,59,2,136,8,63,90,564
286,19,1,108,9,65,109,565
286,42,2,109,3,54,105,566
287,52,1,89,10,52,0,567
287,9,2,90,0,38,0,568
288,100,1,184,4,28,71,569
288,21,2,115,7,47,102,570
289,62,1,140,6,60,97,571
289,61,2,96,10,61,0,572
290,49,1,170,6,46,84,573
290,59,2,139,8,48,80,574
291,11,1,125,10,50,99,575
291,19,2,129,5,33,74,576
292,9,1,197,7,33,60,577
292,61,2,116,10,43,92,578
293,48,1,176,5,45,83,579
293,100,2,123,10,36,72,580
294,52,1,149,7,67,95,581
294,90,2,152,5,62,88,582
295,54,1,102,10,51,116,583
295,42,2,106,3,60,101,584
296,49,1,146,6,44,92,585
296,9,2,142,9,47,92,586
297,54,1,116,7,55,101,587
297,19,2,118,2,50,78,588
298,11,1,183,3,41,76,589
298,42,2,148,9,38,73,590
299,59,1,138,4,53,94,591
299,52,2,93,10,54,0,592
300,48,1,159,7,40,90,593
300,21,2,109,8,51,102,594
301,61,1,159,6,45,88,595
301,49,2,135,8,48,98,596
302,90,1,101,10,52,110,597
302,62,2,104,5,47,98,598
303,100,1,147,10,45,89,599
303,19,2,112,10,35,107,600
304,52,1,106,9,73,116,601
304,61,2,111,4,30,78,602
305,21,1,71,10,81,0,603
305,42,2,72,3,26,0,604
306,90,1,157,9,42,81,605
306,59,2,159,3,36,77,606
307,48,1,156,5,43,76,607
307,11,2,146,7,32,87,608
308,54,1,144,7,33,96,609
308,100,2,136,6,47,95,610
309,62,1,126,7,52,108,611
309,9,2,127,5,52,92,612
310,21,1,111,3,77,107,613
310,19,2,112,5,37,72,614
311,54,1,150,7,55,92,615
311,48,2,118,9,66,107,616
312,49,1,204,4,42,72,617
312,52,2,158,8,32,63,618
313,9,1,180,4,31,70,619
313,90,2,137,9,45,85,620
314,100,1,105,10,61,115,621
314,11,2,110,2,46,83,622
315,61,1,181,5,32,84,623
315,59,2,94,10,67,0,624
316,48,1,144,9,33,80,625
316,42,2,145,2,31,58,626
317,21,1,66,9,89,0,627
317,11,2,67,2,27,0,628
318,62,1,206,3,36,66,629
318,52,2,114,9,59,94,630
319,61,1,191,8,36,73,631
319,90,2,104,10,46,99,632
320,9,1,118,10,67,107,633
320,59,2,73,10,68,0,634
321,21,1,81,8,74,0,635
321,54,2,82,5,25,0,636
322,100,1,141,7,34,82,637
322,42,2,127,9,52,97,638
323,49,1,130,8,39,91,639
323,62,2,131,6,42,73,640
324,19,1,154,5,50,91,641
324,48,2,140,5,40,93,642
325,19,1,80,9,96,0,643
325,62,2,81,2,49,0,644
326,61,1,161,7,52,91,645
326,42,2,107,10,29,99,646
327,49,1,198,6,41,76,647
327,19,2,108,10,49,103,648
328,42,1,134,7,67,107,649
328,54,2,122,9,49,94,650
329,42,1,167,7,33,75,651
329,49,2,168,5,46,76,652
330,62,1,158,4,49,87,653
330,11,2,137,9,37,97,654
331,9,1,130,5,55,96,655
331,61,2,112,5,52,114,656
332,11,1,135,10,41,82,657
332,61,2,108,10,57,101,658
333,9,1,128,8,57,106,659
333,62,2,134,3,50,95,660
334,49,1,252,3,28,53,661
334,62,2,194,7,45,77,662
335,49,1,193,7,29,65,663
335,11,2,194,6,23,50,664
336,11,1,181,7,30,55,665
336,62,2,183,4,38,69,666
337,62,1,123,10,42,103,667
337,49,2,126,4,44,68,668
338,38,1,87,7,75,0,669
338,86,2,89,2,44,0,670
339,36,1,113,6,47,109,671
339,38,2,116,4,60,107,672
340,36,1,98,6,67,0,673
340,86,2,99,2,51,0,674
341,86,1,143,6,48,79,675
341,38,2,114,10,48,90,676
342,36,1,95,10,57,0,677
342,86,2,96,4,47,0,678
343,34,1,132,6,58,106,679
343,82,2,133,5,48,93,680
344,90,1,151,3,35,85,681
344,34,2,154,1,42,65,682
345,90,1,181,9,29,65,683
345,82,2,177,7,31,59,684
346,82,1,160,6,48,80,685
346,34,2,120,9,52,100,686
347,90,1,167,7,32,56,687
347,82,2,168,2,47,77,688
348,95,1,151,5,35,83,689
348,63,2,134,9,45,83,690
349,95,1,188,6,30,69,691
349,63,2,137,7,44,88,692
350,63,1,134,8,46,90,693
350,95,2,108,10,59,93,694
351,63,1,144,7,52,96,695
351,95,2,145,4,38,81,696
352,63,1,206,5,35,58,697
352,95,2,184,9,24,53,698
353,4,1,142,9,39,82,699
353,47,2,144,3,31,86,700
354,47,1,201,6,30,66,701
354,4,2,123,10,50,74,702
355,11,1,208,7,23,39,703
355,28,2,204,7,27,57,704
356,11,1,147,9,47,74,705
356,28,2,16,1,0,0,706
357,11,1,138,10,20,70,707
357,28,2,140,1,32,54,708
358,53,1,139,7,51,90,709
358,86,2,142,1,37,81,710
359,53,1,180,3,46,73,711
359,86,2,122,6,44,84,712
360,34,1,236,3,23,44,713
360,29,2,95,6,61,0,714
361,34,1,163,7,39,86,715
361,71,2,79,6,90,0,716
362,29,1,117,7,50,106,717
362,71,2,118,2,36,78,718
363,71,1,94,9,64,0,719
363,34,2,98,5,58,0,720
364,66,1,141,5,46,90,721
364,80,2,142,5,45,86,722
365,66,1,136,6,58,94,723
365,80,2,137,1,45,81,724
366,28,1,196,4,34,68,725
366,4,2,171,10,33,64,726
367,4,1,155,6,42,88,727
367,28,2,158,3,35,74,728
368,66,1,200,3,32,73,729
368,82,2,152,10,45,77,730
369,82,1,119,7,52,100,731
369,66,2,120,1,45,79,732
370,63,1,123,3,50,86,733
370,54,2,61,8,45,0,734
371,63,1,138,6,46,80,735
371,54,2,103,8,70,111,736
372,63,1,152,9,51,87,737
372,54,2,144,7,56,94,738
373,63,1,167,7,38,76,739
373,54,2,154,7,31,88,740
374,54,1,171,7,34,77,741
374,63,2,176,4,34,73,742
375,71,1,129,7,45,95,743
375,42,2,132,0,37,67,744
376,19,1,150,10,36,76,745
376,2,2,138,7,40,90,746
377,51,1,106,9,73,113,747
377,78,2,109,4,35,70,748
378,73,1,108,8,52,117,749
378,46,2,109,2,45,74,750
379,46,1,210,4,27,55,751
379,78,2,123,10,35,78,752
380,19,1,122,10,35,89,753
380,51,2,94,10,75,0,754
381,19,1,199,5,32,71,755
381,46,2,97,7,52,0,756
382,90,1,139,7,51,94,757
382,40,2,96,10,54,0,758
383,54,1,154,6,40,71,759
383,34,2,111,10,37,102,760
384,40,1,85,9,81,0,761
384,63,2,86,2,49,0,762
385,90,1,239,3,32,69,763
385,63,2,111,10,33,69,764
386,40,1,77,8,80,0,765
386,54,2,78,2,32,0,766
387,40,1,66,10,91,0,767
387,34,2,72,1,28,0,768
388,90,1,168,5,28,76,769
388,54,2,152,8,42,81,770
389,63,1,132,6,49,98,771
389,54,2,133,4,55,94,772
390,47,1,161,7,42,93,773
390,14,2,150,7,35,81,774
391,14,1,194,5,31,66,775
391,47,2,195,4,29,71,776
392,14,1,186,5,35,71,777
392,47,2,174,7,34,77,778
393,23,1,165,8,57,90,779
393,98,2,128,8,50,95,780
394,23,1,161,6,40,97,781
394,104,2,74,7,87,0,782
395,23,1,184,8,53,79,783
395,98,2,135,3,69,100,784
396,33,1,100,9,53,120,785
396,76,2,101,2,41,67,786
397,82,1,156,6,44,80,787
397,80,2,157,4,35,70,788
398,82,1,134,7,38,95,789
398,80,2,137,2,39,70,790
399,82,1,129,9,45,99,791
399,80,2,130,2,51,80,792
400,28,1,180,7,17,63,793
400,24,2,179,5,29,54,794
401,24,1,238,3,37,66,795
401,28,2,166,9,40,75,796
402,28,1,25,1,0,0,797
403,80,1,153,9,64,96,798
403,24,2,156,5,40,78,799
404,80,1,163,6,44,88,800
404,24,2,164,1,38,67,801
405,24,1,173,7,38,77,802
405,80,2,177,6,39,76,803
406,24,1,184,5,53,80,804
406,14,2,131,10,43,83,805
407,24,1,219,7,38,66,806
407,14,2,215,8,30,69,807
408,14,1,208,4,38,69,808
408,24,2,144,10,30,68,809
409,14,1,156,6,50,89,810
409,24,2,106,10,71,109,811
410,14,1,142,8,39,81,812
410,24,2,143,3,33,68,813
411,24,1,210,3,38,70,814
411,66,2,144,8,42,80,815
412,24,1,173,5,33,72,816
412,66,2,142,7,34,64,817
413,24,1,141,4,22,41,818
413,66,2,76,10,31,0,819
414,35,1,128,5,52,100,820
414,69,2,95,10,45,0,821
415,69,1,148,2,28,61,822
415,35,2,96,6,52,0,823
416,35,1,60,10,83,0,824
416,69,2,61,4,52,0,825
417,10,1,179,6,30,74,826
417,64,2,183,5,49,74,827
418,10,1,146,6,36,88,828
418,64,2,147,6,44,93,829
419,10,1,191,3,42,86,830
419,64,2,192,1,33,63,831
420,80,1,232,6,37,68,832
420,64,2,201,10,30,52,833
421,64,1,200,10,31,59,834
421,80,2,155,9,33,79,835
422,80,1,154,6,36,76,836
422,64,2,155,7,38,73,837
423,80,1,169,6,39,75,838
423,10,2,166,6,31,82,839
424,80,1,144,7,40,97,840
424,10,2,145,4,40,69,841
425,10,1,164,8,49,86,842
425,80,2,169,6,36,78,843
426,47,1,124,7,62,102,844
426,64,2,130,2,36,76,845
427,64,1,164,6,41,74,846
427,47,2,166,3,36,67,847
428,47,1,156,6,56,96,848
428,64,2,158,2,32,71,849
429,47,1,185,8,40,76,850
429,64,2,177,8,37,77,851
430,47,1,224,2,32,58,852
430,64,2,188,8,27,56,853
431,4,1,129,7,48,101,854
431,64,2,130,2,28,70,855
432,4,1,111,7,63,115,856
432,64,2,108,5,54,94,857
433,64,1,180,6,37,67,858
433,4,2,91,10,55,0,859
434,10,1,188,6,39,63,860
434,80,2,189,6,38,66,861
435,80,1,140,9,46,85,862
435,10,2,141,4,32,66,863
436,10,1,203,5,30,60,864
436,80,2,205,1,31,60,865
437,10,1,144,10,35,72,866
437,80,2,149,7,32,61,867
438,10,1,165,7,39,77,868
